Split,Arm,Method,BudgetK,MetricName,Numerator,Denominator,ExactFractionOrFormula,DecimalValue,ReportedPercentageOrScore
held_out,B3,R0,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B3,R0,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B3,R0,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B3,R0,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R0,8,Mean Candidate Tokens,29302,12,29302/12,2441.8333333333335,2441.8
held_out,B3,R0,8,Mean Prompt Tokens,30501,12,30501/12,2541.75,2541.8
held_out,B3,R1,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R1,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B3,R1,3,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B3,R1,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B3,R1,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R1,3,Mean Candidate Tokens,11706,12,11706/12,975.5,975.5
held_out,B3,R1,3,Mean Prompt Tokens,15237,12,15237/12,1269.75,1269.8
held_out,B3,R1,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R1,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B3,R1,5,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B3,R1,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B3,R1,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R1,5,Mean Candidate Tokens,19548,12,19548/12,1629.0,1629.0
held_out,B3,R1,5,Mean Prompt Tokens,21775,12,21775/12,1814.5833333333333,1814.6
held_out,B3,R1,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R1,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B3,R1,8,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B3,R1,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B3,R1,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R1,8,Mean Candidate Tokens,29321,12,29321/12,2443.4166666666665,2443.4
held_out,B3,R1,8,Mean Prompt Tokens,30481,12,30481/12,2540.0833333333335,2540.1
held_out,B3,R2,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R2,3,HN Presence Rate,8,12,8/12,0.6666666666666666,66.7%
held_out,B3,R2,3,Mean First Target Rank,15,12,15/12,1.25,1.25
held_out,B3,R2,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B3,R2,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R2,3,Mean Candidate Tokens,11718,12,11718/12,976.5,976.5
held_out,B3,R2,3,Mean Prompt Tokens,15187,12,15187/12,1265.5833333333333,1265.6
held_out,B3,R2,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R2,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B3,R2,5,Mean First Target Rank,15,12,15/12,1.25,1.25
held_out,B3,R2,5,Final Accepted Target Recall,11.5,12,23/24 (11*1.0 + 4/8)/12,0.9583333333333334,95.8%
held_out,B3,R2,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R2,5,Mean Candidate Tokens,19408,12,19408/12,1617.3333333333333,1617.3
held_out,B3,R2,5,Mean Prompt Tokens,21705,12,21705/12,1808.75,1808.8
held_out,B3,R2,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R2,8,HN Presence Rate,10,12,10/12,0.8333333333333334,83.3%
held_out,B3,R2,8,Mean First Target Rank,15,12,15/12,1.25,1.25
held_out,B3,R2,8,Final Accepted Target Recall,11.5,12,11.5000/12,0.9583333333333334,95.8%
held_out,B3,R2,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R2,8,Mean Candidate Tokens,29109,12,29109/12,2425.75,2425.8
held_out,B3,R2,8,Mean Prompt Tokens,30382,12,30382/12,2531.8333333333335,2531.8
held_out,B3,R3,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R3,3,HN Presence Rate,8,12,8/12,0.6666666666666666,66.7%
held_out,B3,R3,3,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B3,R3,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B3,R3,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R3,3,Mean Candidate Tokens,11724,12,11724/12,977.0,977.0
held_out,B3,R3,3,Mean Prompt Tokens,15245,12,15245/12,1270.4166666666667,1270.4
held_out,B3,R3,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R3,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B3,R3,5,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B3,R3,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B3,R3,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R3,5,Mean Candidate Tokens,19548,12,19548/12,1629.0,1629.0
held_out,B3,R3,5,Mean Prompt Tokens,21787,12,21787/12,1815.5833333333333,1815.6
held_out,B3,R3,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R3,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
